q , F , sin2i , Teff , logg , a1c 
0.05 , 0.3 , 0.2 , 4935 , 4.5963 , 0.00004392 
0.05 , 0.5 , 0.2 , 4935 , 4.5963 , 0.00033671 
0.05 , 0.7 , 0.2 , 4935 , 4.5963 , 0.00127622 
0.05 , 0.9 , 0.2 , 4935 , 4.5963 , 0.00351036 
0.05 , 0.3 , 0.4 , 4935 , 4.5963 , 0.00004111 
0.05 , 0.5 , 0.4 , 4935 , 4.5963 , 0.00031024 
0.05 , 0.7 , 0.4 , 4935 , 4.5963 , 0.00113531 
0.05 , 0.9 , 0.4 , 4935 , 4.5963 , 0.00280068 
0.05 , 0.3 , 0.6 , 4935 , 4.5963 , 0.00002486 
0.05 , 0.5 , 0.6 , 4935 , 4.5963 , 0.00017957 
0.05 , 0.7 , 0.6 , 4935 , 4.5963 , 0.00057714 
0.05 , 0.9 , 0.6 , 4935 , 4.5963 , 0.00070623 
0.05 , 0.3 , 0.8 , 4935 , 4.5963 , -0.00000056 
0.05 , 0.5 , 0.8 , 4935 , 4.5963 , -0.00002176 
0.05 , 0.7 , 0.8 , 4935 , 4.5963 , -0.00027015 
0.05 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00245526 
0.05 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00003313 
0.05 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00027824 
0.05 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00135264 
0.05 , 0.9 , 1.0 , 4935 , 4.5963 , -0.00661166 
0.10 , 0.3 , 0.2 , 4935 , 4.5963 , 0.00006233 
0.10 , 0.5 , 0.2 , 4935 , 4.5963 , 0.00047695 
0.10 , 0.7 , 0.2 , 4935 , 4.5963 , 0.00179438 
0.10 , 0.9 , 0.2 , 4935 , 4.5963 , 0.00482916 
0.10 , 0.3 , 0.4 , 4935 , 4.5963 , 0.00005842 
0.10 , 0.5 , 0.4 , 4935 , 4.5963 , 0.00044057 
0.10 , 0.7 , 0.4 , 4935 , 4.5963 , 0.00160169 
0.10 , 0.9 , 0.4 , 4935 , 4.5963 , 0.00388689 
0.10 , 0.3 , 0.6 , 4935 , 4.5963 , 0.00003533 
0.10 , 0.5 , 0.6 , 4935 , 4.5963 , 0.00025582 
0.10 , 0.7 , 0.6 , 4935 , 4.5963 , 0.00082081 
0.10 , 0.9 , 0.6 , 4935 , 4.5963 , 0.00105123 
0.10 , 0.3 , 0.8 , 4935 , 4.5963 , -0.00000075 
0.10 , 0.5 , 0.8 , 4935 , 4.5963 , -0.00002944 
0.10 , 0.7 , 0.8 , 4935 , 4.5963 , -0.00036699 
0.10 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00320924 
0.10 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00004709 
0.10 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00039337 
0.10 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00188256 
0.10 , 0.9 , 1.0 , 4935 , 4.5963 , -0.00875224 
1.00 , 0.3 , 0.2 , 4935 , 4.5963 , 0.00011434 
1.00 , 0.5 , 0.2 , 4935 , 4.5963 , 0.00086346 
