q , F , sin2i , Teff , logg , a1c 
0.05 , 0.3 , 0.2 , 4935 , 4.5963 , 0.00002290 
0.05 , 0.5 , 0.2 , 4935 , 4.5963 , 0.00017604 
0.05 , 0.7 , 0.2 , 4935 , 4.5963 , 0.00067171 
0.05 , 0.9 , 0.2 , 4935 , 4.5963 , 0.00184735 
0.05 , 0.3 , 0.4 , 4935 , 4.5963 , 0.00002138 
0.05 , 0.5 , 0.4 , 4935 , 4.5963 , 0.00016127 
0.05 , 0.7 , 0.4 , 4935 , 4.5963 , 0.00058710 
0.05 , 0.9 , 0.4 , 4935 , 4.5963 , 0.00137035 
0.05 , 0.3 , 0.6 , 4935 , 4.5963 , 0.00001295 
0.05 , 0.5 , 0.6 , 4935 , 4.5963 , 0.00009249 
0.05 , 0.7 , 0.6 , 4935 , 4.5963 , 0.00028760 
0.05 , 0.9 , 0.6 , 4935 , 4.5963 , 0.00019360 
0.05 , 0.3 , 0.8 , 4935 , 4.5963 , -0.00000031 
0.05 , 0.5 , 0.8 , 4935 , 4.5963 , -0.00001234 
0.05 , 0.7 , 0.8 , 4935 , 4.5963 , -0.00015405 
0.05 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00146228 
0.05 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00001724 
0.05 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00014476 
0.05 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00070524 
0.05 , 0.9 , 1.0 , 4935 , 4.5963 , -0.00351117 
0.10 , 0.3 , 0.2 , 4935 , 4.5963 , 0.00003248 
0.10 , 0.5 , 0.2 , 4935 , 4.5963 , 0.00024920 
0.10 , 0.7 , 0.2 , 4935 , 4.5963 , 0.00094369 
0.10 , 0.9 , 0.2 , 4935 , 4.5963 , 0.00253914 
0.10 , 0.3 , 0.4 , 4935 , 4.5963 , 0.00003042 
0.10 , 0.5 , 0.4 , 4935 , 4.5963 , 0.00022900 
0.10 , 0.7 , 0.4 , 4935 , 4.5963 , 0.00082970 
0.10 , 0.9 , 0.4 , 4935 , 4.5963 , 0.00192240 
