q , F , sin2i , Teff , logg , a1c 
0.05 , 0.3 , 0.2 , 4935 , 4.5963 , 0.00002853 
0.05 , 0.5 , 0.2 , 4935 , 4.5963 , 0.00021956 
0.05 , 0.7 , 0.2 , 4935 , 4.5963 , 0.00084067 
0.05 , 0.9 , 0.2 , 4935 , 4.5963 , 0.00234696 
0.05 , 0.3 , 0.4 , 4935 , 4.5963 , 0.00002666 
0.05 , 0.5 , 0.4 , 4935 , 4.5963 , 0.00020161 
0.05 , 0.7 , 0.4 , 4935 , 4.5963 , 0.00074083 
0.05 , 0.9 , 0.4 , 4935 , 4.5963 , 0.00180548 
0.05 , 0.3 , 0.6 , 4935 , 4.5963 , 0.00001614 
0.05 , 0.5 , 0.6 , 4935 , 4.5963 , 0.00011628 
0.05 , 0.7 , 0.6 , 4935 , 4.5963 , 0.00037220 
0.05 , 0.9 , 0.6 , 4935 , 4.5963 , 0.00038438 
0.05 , 0.3 , 0.8 , 4935 , 4.5963 , -0.00000036 
0.05 , 0.5 , 0.8 , 4935 , 4.5963 , -0.00001416 
0.05 , 0.7 , 0.8 , 4935 , 4.5963 , -0.00017590 
0.05 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00165250 
0.05 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00002145 
0.05 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00017928 
0.05 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00086383 
0.05 , 0.9 , 1.0 , 4935 , 4.5963 , -0.00420785 
0.10 , 0.3 , 0.2 , 4935 , 4.5963 , 0.00004047 
0.10 , 0.5 , 0.2 , 4935 , 4.5963 , 0.00031083 
0.10 , 0.7 , 0.2 , 4935 , 4.5963 , 0.00118129 
0.10 , 0.9 , 0.2 , 4935 , 4.5963 , 0.00322580 
0.10 , 0.3 , 0.4 , 4935 , 4.5963 , 0.00003791 
0.10 , 0.5 , 0.4 , 4935 , 4.5963 , 0.00028628 
0.10 , 0.7 , 0.4 , 4935 , 4.5963 , 0.00104646 
0.10 , 0.9 , 0.4 , 4935 , 4.5963 , 0.00252351 
0.10 , 0.3 , 0.6 , 4935 , 4.5963 , 0.00002290 
0.10 , 0.5 , 0.6 , 4935 , 4.5963 , 0.00016572 
0.10 , 0.7 , 0.6 , 4935 , 4.5963 , 0.00053177 
0.10 , 0.9 , 0.6 , 4935 , 4.5963 , 0.00061213 
0.10 , 0.3 , 0.8 , 4935 , 4.5963 , -0.00000047 
0.10 , 0.5 , 0.8 , 4935 , 4.5963 , -0.00001915 
0.10 , 0.7 , 0.8 , 4935 , 4.5963 , -0.00023750 
0.10 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00213732 
0.10 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00003049 
0.10 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00025371 
0.10 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00120490 
0.10 , 0.9 , 1.0 , 4935 , 4.5963 , -0.00557605 
1.00 , 0.3 , 0.2 , 4935 , 4.5963 , 0.00007422 
1.00 , 0.5 , 0.2 , 4935 , 4.5963 , 0.00056265 
1.00 , 0.7 , 0.2 , 4935 , 4.5963 , 0.00206614 
1.00 , 0.9 , 0.2 , 4935 , 4.5963 , 0.00515075 
1.00 , 0.3 , 0.4 , 4935 , 4.5963 , 0.00006962 
