q , F , sin2i , Teff , logg , a1c 
0.05 , 0.3 , 0.2 , 4935 , 4.5963 , 0.00003505 
0.05 , 0.5 , 0.2 , 4935 , 4.5963 , 0.00026907 
0.05 , 0.7 , 0.2 , 4935 , 4.5963 , 0.00102344 
0.05 , 0.9 , 0.2 , 4935 , 4.5963 , 0.00280638 
0.05 , 0.3 , 0.4 , 4935 , 4.5963 , 0.00003277 
0.05 , 0.5 , 0.4 , 4935 , 4.5963 , 0.00024740 
0.05 , 0.7 , 0.4 , 4935 , 4.5963 , 0.00090461 
0.05 , 0.9 , 0.4 , 4935 , 4.5963 , 0.00217264 
0.05 , 0.3 , 0.6 , 4935 , 4.5963 , 0.00001983 
0.05 , 0.5 , 0.6 , 4935 , 4.5963 , 0.00014276 
0.05 , 0.7 , 0.6 , 4935 , 4.5963 , 0.00045441 
0.05 , 0.9 , 0.6 , 4935 , 4.5963 , 0.00045050 
0.05 , 0.3 , 0.8 , 4935 , 4.5963 , -0.00000045 
0.05 , 0.5 , 0.8 , 4935 , 4.5963 , -0.00001776 
0.05 , 0.7 , 0.8 , 4935 , 4.5963 , -0.00022105 
0.05 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00206872 
0.05 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00002641 
0.05 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00022155 
0.05 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00107563 
0.05 , 0.9 , 1.0 , 4935 , 4.5963 , -0.00529177 
0.10 , 0.3 , 0.2 , 4935 , 4.5963 , 0.00004972 
0.10 , 0.5 , 0.2 , 4935 , 4.5963 , 0.00038103 
0.10 , 0.7 , 0.2 , 4935 , 4.5963 , 0.00143878 
0.10 , 0.9 , 0.2 , 4935 , 4.5963 , 0.00386096 
0.10 , 0.3 , 0.4 , 4935 , 4.5963 , 0.00004659 
0.10 , 0.5 , 0.4 , 4935 , 4.5963 , 0.00035130 
0.10 , 0.7 , 0.4 , 4935 , 4.5963 , 0.00127744 
0.10 , 0.9 , 0.4 , 4935 , 4.5963 , 0.00303106 
0.10 , 0.3 , 0.6 , 4935 , 4.5963 , 0.00002815 
0.10 , 0.5 , 0.6 , 4935 , 4.5963 , 0.00020343 
0.10 , 0.7 , 0.6 , 4935 , 4.5963 , 0.00064833 
0.10 , 0.9 , 0.6 , 4935 , 4.5963 , 0.00070889 
0.10 , 0.3 , 0.8 , 4935 , 4.5963 , -0.00000060 
0.10 , 0.5 , 0.8 , 4935 , 4.5963 , -0.00002404 
0.10 , 0.7 , 0.8 , 4935 , 4.5963 , -0.00029915 
0.10 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00268846 
0.10 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00003753 
0.10 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00031336 
0.10 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00149856 
0.10 , 0.9 , 1.0 , 4935 , 4.5963 , -0.00700778 
1.00 , 0.3 , 0.2 , 4935 , 4.5963 , 0.00009120 
1.00 , 0.5 , 0.2 , 4935 , 4.5963 , 0.00068958 
1.00 , 0.7 , 0.2 , 4935 , 4.5963 , 0.00251635 
1.00 , 0.9 , 0.2 , 4935 , 4.5963 , 0.00614645 
1.00 , 0.3 , 0.4 , 4935 , 4.5963 , 0.00008555 
1.00 , 0.5 , 0.4 , 4935 , 4.5963 , 0.00063822 
1.00 , 0.7 , 0.4 , 4935 , 4.5963 , 0.00223391 
1.00 , 0.9 , 0.4 , 4935 , 4.5963 , 0.00474288 
1.00 , 0.3 , 0.6 , 4935 , 4.5963 , 0.00005174 
1.00 , 0.5 , 0.6 , 4935 , 4.5963 , 0.00036853 
1.00 , 0.7 , 0.6 , 4935 , 4.5963 , 0.00109532 
1.00 , 0.9 , 0.6 , 4935 , 4.5963 , 0.00069863 
1.00 , 0.3 , 0.8 , 4935 , 4.5963 , -0.00000139 
1.00 , 0.5 , 0.8 , 4935 , 4.5963 , -0.00005212 
1.00 , 0.7 , 0.8 , 4935 , 4.5963 , -0.00065239 
1.00 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00534316 
1.00 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00006970 
1.00 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00059240 
1.00 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00289619 
1.00 , 0.9 , 1.0 , 4935 , 4.5963 , -0.01310297 
10.00 , 0.3 , 0.2 , 4935 , 4.5963 , 0.00008049 
10.00 , 0.5 , 0.2 , 4935 , 4.5963 , 0.00059886 
10.00 , 0.7 , 0.2 , 4935 , 4.5963 , 0.00208754 
10.00 , 0.9 , 0.2 , 4935 , 4.5963 , 0.00462970 
10.00 , 0.3 , 0.4 , 4935 , 4.5963 , 0.00007562 
10.00 , 0.5 , 0.4 , 4935 , 4.5963 , 0.00055331 
10.00 , 0.7 , 0.4 , 4935 , 4.5963 , 0.00182038 
10.00 , 0.9 , 0.4 , 4935 , 4.5963 , 0.00323314 
10.00 , 0.3 , 0.6 , 4935 , 4.5963 , 0.00004571 
10.00 , 0.5 , 0.6 , 4935 , 4.5963 , 0.00031367 
10.00 , 0.7 , 0.6 , 4935 , 4.5963 , 0.00078842 
10.00 , 0.9 , 0.6 , 4935 , 4.5963 , -0.00055886 
10.00 , 0.3 , 0.8 , 4935 , 4.5963 , -0.00000151 
10.00 , 0.5 , 0.8 , 4935 , 4.5963 , -0.00006316 
10.00 , 0.7 , 0.8 , 4935 , 4.5963 , -0.00081521 
10.00 , 0.9 , 0.8 , 4935 , 4.5963 , -0.00636208 
10.00 , 0.3 , 1.0 , 4935 , 4.5963 , -0.00006252 
10.00 , 0.5 , 1.0 , 4935 , 4.5963 , -0.00055172 
10.00 , 0.7 , 1.0 , 4935 , 4.5963 , -0.00290798 
10.00 , 0.9 , 1.0 , 4935 , 4.5963 , -0.01403873 
0.05 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00002729 
0.05 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00021032 
0.05 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00083508 
0.05 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00235470 
0.05 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00002550 
0.05 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00019319 
0.05 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00075502 
0.05 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00187942 
0.05 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00001542 
0.05 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00011141 
0.05 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00041715 
0.05 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00056836 
0.05 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000031 
0.05 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00001335 
0.05 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00009119 
0.05 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00131248 
0.05 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00002048 
0.05 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00017099 
0.05 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00073120 
0.05 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00366011 
0.10 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00003870 
0.10 , 0.5 , 0.2 , 5778 , 4.4387 , 0.00029771 
0.10 , 0.7 , 0.2 , 5778 , 4.4387 , 0.00117980 
0.10 , 0.9 , 0.2 , 5778 , 4.4387 , 0.00324574 
0.10 , 0.3 , 0.4 , 5778 , 4.4387 , 0.00003628 
0.10 , 0.5 , 0.4 , 5778 , 4.4387 , 0.00027419 
0.10 , 0.7 , 0.4 , 5778 , 4.4387 , 0.00107633 
0.10 , 0.9 , 0.4 , 5778 , 4.4387 , 0.00263748 
0.10 , 0.3 , 0.6 , 5778 , 4.4387 , 0.00002196 
0.10 , 0.5 , 0.6 , 5778 , 4.4387 , 0.00015879 
0.10 , 0.7 , 0.6 , 5778 , 4.4387 , 0.00060817 
0.10 , 0.9 , 0.6 , 5778 , 4.4387 , 0.00087633 
0.10 , 0.3 , 0.8 , 5778 , 4.4387 , -0.00000047 
0.10 , 0.5 , 0.8 , 5778 , 4.4387 , -0.00001794 
0.10 , 0.7 , 0.8 , 5778 , 4.4387 , -0.00010262 
0.10 , 0.9 , 0.8 , 5778 , 4.4387 , -0.00166647 
0.10 , 0.3 , 1.0 , 5778 , 4.4387 , -0.00002912 
0.10 , 0.5 , 1.0 , 5778 , 4.4387 , -0.00024204 
0.10 , 0.7 , 1.0 , 5778 , 4.4387 , -0.00100079 
0.10 , 0.9 , 1.0 , 5778 , 4.4387 , -0.00483631 
1.00 , 0.3 , 0.2 , 5778 , 4.4387 , 0.00007108 
